Pcd,Lat,Long,Duration,num_Dur,Old_Or_New,num_Old,Prd_Category_Type,num_Prd,Property_Type,num_Pro,dis_station,station_dis,station_Lat,station_Lng,dis_airport,air_dis,air_Lat,air_Lng,Price
BR52BG,51.385065,0.105723,F,2,N,2,A,1,T,1.5,16.772,0,51.47,?-0.0942,26.273,0,51.1536621,0.182062,490000
BR52DF,51.390921,0.103117,F,2,N,2,A,1,S,1.5,16.262,0,51.47,?-0.0942,26.948,0,51.1536621,0.182062,400000
BR52EN,51.392961,0.104217,F,2,N,2,A,1,S,1.5,16.205,0,51.47,?-0.0942,27.154,0,51.1536621,0.182062,437000
BR52EP,51.392249,0.103796,F,2,N,2,A,1,S,1.5,16.222,0,51.47,?-0.0942,27.083,0,51.1536621,0.182062,380000
BR52FL,,,F,2,Y,1,A,1,D,2,16.534,0,51.47,?-0.0942,26.429,0,51.1536621,0.182062,650000
BR52HD,51.391065,0.105625,F,2,N,2,A,1,S,1.5,16.4,0,51.47,?-0.0942,26.928,0,51.1536621,0.182062,402500
BR52LF,51.396869,0.108939,F,2,N,2,B,2.5,O,7,16.261,0,51.47,?-0.0942,27.518,0,51.1536621,0.182062,1200000
BR52NG,51.397553,0.104888,F,2,N,2,A,1,T,1.5,15.98,0,51.47,?-0.0942,27.646,0,51.1536621,0.182062,270000
BR52NH,51.397707,0.101819,F,2,N,2,A,1,S,1.5,15.788,0,51.47,?-0.0942,27.705,0,51.1536621,0.182062,352500
BR52NU,51.395697,0.097558,F,2,N,2,A,1,S,1.5,15.652,0,51.47,?-0.0942,27.548,0,51.1536621,0.182062,475000
BR52QE,51.400333,0.098848,L,1,N,2,A,1,F,1,15.462,0,51.47,?-0.0942,28.033,0,51.1536621,0.182062,187000
BR52SS,51.405853,0.094399,F,2,N,2,A,1,S,1.5,14.892,1,51.47,?-0.0942,28.698,0,51.1536621,0.182062,675000
BR52TG,51.406976,0.093933,F,2,N,2,A,1,S,1.5,14.804,1,51.47,?-0.0942,28.826,0,51.1536621,0.182062,443000
BR52TH,51.407879,0.095757,F,2,N,2,A,1,S,1.5,14.868,1,51.47,?-0.0942,28.898,0,51.1536621,0.182062,420000
BR53AP,51.401702,0.109737,F,2,N,2,A,1,T,1.5,16.047,0,51.47,?-0.0942,28.036,0,51.1536621,0.182062,375000
BR53BG,51.40825,0.106688,L,1,N,2,A,1,F,1,15.525,0,51.47,?-0.0942,28.79,0,51.1536621,0.182062,210000
BR53DF,51.404537,0.107581,F,2,N,2,B,2.5,S,1.5,15.767,0,51.47,?-0.0942,28.373,0,51.1536621,0.182062,350000
BR53DX,51.413263,0.103927,F,2,N,2,A,1,T,1.5,15.112,0,51.47,?-0.0942,29.373,0,51.1536621,0.182062,395000
BR53DX,51.413263,0.103927,F,2,N,2,A,1,S,1.5,15.112,0,51.47,?-0.0942,29.373,0,51.1536621,0.182062,395000
BR53DY,51.413966,0.10534,F,2,N,2,B,2.5,S,1.5,15.169,0,51.47,?-0.0942,29.432,0,51.1536621,0.182062,450000
BR53EJ,51.396647,0.113745,F,2,N,2,A,1,T,1.5,16.563,0,51.47,?-0.0942,27.433,0,51.1536621,0.182062,290000
BR53FA,51.406997,0.110309,F,2,N,2,A,1,T,1.5,15.812,0,51.47,?-0.0942,28.608,0,51.1536621,0.182062,425000
BR53FN,51.39272,0.115591,L,1,N,2,A,1,F,1,16.893,0,51.47,?-0.0942,26.981,0,51.1536621,0.182062,275000
BR53FP,51.393188,0.116101,L,1,N,2,A,1,F,1,16.897,0,51.47,?-0.0942,27.026,0,51.1536621,0.182062,87500
BR53HA,51.397508,0.11492,L,1,N,2,B,2.5,F,1,16.587,0,51.47,?-0.0942,27.514,0,51.1536621,0.182062,255000
BR53HE,51.400403,0.116434,F,2,N,2,A,1,S,1.5,16.525,0,51.47,?-0.0942,27.814,0,51.1536621,0.182062,345000
BR53JN,51.399618,0.120567,F,2,N,2,A,1,S,1.5,16.819,0,51.47,?-0.0942,27.682,0,51.1536621,0.182062,417500
BR53QW,51.393256,0.108342,F,2,N,2,B,2.5,O,7,16.431,0,51.47,?-0.0942,27.131,0,51.1536621,0.182062,4000000
BR53QY,51.398094,0.109842,F,2,N,2,B,2.5,O,7,16.248,0,51.47,?-0.0942,27.64,0,51.1536621,0.182062,1450000
BR54BX,51.387805,0.121832,F,2,N,2,A,1,S,1.5,17.546,0,51.47,?-0.0942,26.371,0,51.1536621,0.182062,330000
BR54DQ,51.383152,0.115581,F,2,N,2,A,1,T,1.5,17.459,0,51.47,?-0.0942,25.934,0,51.1536621,0.182062,320000
BR54DT,51.385036,0.11584,F,2,N,2,A,1,D,2,17.358,0,51.47,?-0.0942,26.137,0,51.1536621,0.182062,620000
BR54DT,51.385036,0.11584,F,2,N,2,A,1,D,2,17.358,0,51.47,?-0.0942,26.137,0,51.1536621,0.182062,510000
BR54EW,51.391524,0.115608,L,1,N,2,B,2.5,F,1,16.962,0,51.47,?-0.0942,26.85,0,51.1536621,0.182062,220000
BR54GA,51.375666,0.118785,F,2,N,2,A,1,T,1.5,18.114,0,51.47,?-0.0942,25.075,0,51.1536621,0.182062,350000
BR54HY,51.382418,0.121842,F,2,N,2,A,1,S,1.5,17.866,0,51.47,?-0.0942,25.779,0,51.1536621,0.182062,370000
BR54JE,51.382414,0.113118,F,2,N,2,A,1,T,1.5,17.363,0,51.47,?-0.0942,25.884,0,51.1536621,0.182062,425000
