pcd,price,lng,lat
CR02BP,177187.5,-0.091453,51.383155
CR02BS,126904,-0.094268,51.378714
CR02BY,202500,-0.09574,51.38238
CR02EA,259999,-0.091014,51.388193
CR02EL,115500,-0.09268,51.385792
CR02EP,158250,-0.093815,51.386854
CR02FE,285000,-0.098259,51.382277
CR02FJ,255000,-0.093625,51.380691
CR02FR,325000,-0.099099,51.379682
CR02FS,115000,-0.098326,51.379616
CR02FW,340000,-0.099493,51.379185
CR02FX,327916.67,-0.099493,51.379185
CR02GD,198250,-0.099063,51.383675
CR02GE,285000,-0.099479,51.378825
CR02GG,321000,-0.099479,51.378825
CR02GP,365000,-0.096409,51.381132
CR02GZ,131250,-0.099297,51.38358
CR02HW,260000,-0.091808,51.388449
CR02HY,195000,-0.093774,51.388175
CR02LQ,309750,-0.092738,51.393734
CR02NG,243750,-0.095199,51.378441
CR02NJ,280000,-0.103862,51.389966
CR02NQ,207000,-0.102064,51.391025
CR02NR,94000,-0.100806,51.39087
CR02PT,365750,-0.103159,51.387851
CR02QD,290000,-0.099028,51.391795
CR02QE,259000,-0.095057,51.393969
CR02QG,306750,-0.096076,51.390892
CR02RF,310000,-0.104601,51.379718
CR02RJ,155000,-0.107018,51.381753
CR02RP,322500,-0.108672,51.385539
CR02RU,162500,-0.108737,51.385027
CR02SE,217500,-0.106003,51.384057
CR02SG,170000,-0.106761,51.384501
CR02SQ,180000,-0.108632,51.387229
CR02ST,250000,-0.108323,51.386343
CR02SW,203500,-0.109575,51.385598
CR02TF,178000,-0.106304,51.382335
CR02TQ,230000,-0.105293,51.383164
CR02UA,265000,-0.102391,51.379997
CR02UB,190000,-0.100565,51.381766
CR02UF,223333.33,-0.103877,51.382296
CR02UH,186750,-0.102388,51.381804
CR02UX,205000,-0.101252,51.381831
CR02WB,300916.67,-0.093659,51.376842
CR02XF,300000,-0.104212,51.3874
CR02XH,240000,-0.098792,51.386404
CR02XL,362500,-0.10034,51.386501
CR02XZ,250000,-0.099576,51.384465
CR03FA,341000,-0.1218,51.3854
CR03FJ,291666.67,-0.1217,51.3852
CR03FL,376665.83,-0.1217,51.3852
CR03HF,165000,-0.120362,51.385763
CR03HH,190000,-0.117158,51.385379
CR03JD,340000,-0.110594,51.383537
CR03QB,181250,-0.11627,51.386704
CR03RS,197000,-0.108641,51.37829
CR03SD,222000,-0.107122,51.378194
CR03SH,205000,-0.105722,51.377299
CR03SN,125000,-0.105669,51.378224
